time (s),Plane0_R_x,Plane1_R_x,Plane2_R_x,Plane3_R_x,Plane4_R_x,Plane5_R_x,Plane0_R_y,Plane1_R_y,Plane2_R_y,Plane3_R_y,Plane4_R_y,Plane5_R_y,Plane0_R,Plane1_R,Plane2_R,Plane3_R,Plane4_R,Plane5_R,class
1637853811.5,0.003953970000581154,0.012391320375729617,0.010539780303338672,0.009411304725595858,0.011372508600374335,0.009016535053957516,8.197180260847814e-05,0.003855588010310351,0.018604819731110864,0.01696373445350074,0.012871678567927935,0.03982991669652582,0.009572704436518692,0.01383746483363984,0.00972460454774049,0.020767646565225437,0.03824313486013185,0.023847132440749475,0
1637853811.7,3.354993449845492e-05,0.019068708312585784,0.015627236404034756,0.01565893879246532,0.021310018922444402,0.01059389053722763,0.0007694082586952951,0.007726463713841453,0.025961621039463843,0.0190625688218305,0.02295470533928512,0.06119115560170456,0.0073982425193762,0.019291263293585423,0.016873240121055375,0.02205985142116512,0.044355744783076904,0.01682143055635738,0
1637853812.1,0.002475707362883177,0.02040082479718622,0.01352028406982129,0.0149942513539734,0.021179275621332174,0.010898008189569805,0.0016387956902138095,0.0052582975396199706,0.028626143764730657,0.03587803691885877,0.039703491151799074,0.09824272259664162,0.007613412301777482,0.021222054162417302,0.016445456366265574,0.027678759322863507,0.0649774732846743,0.008353968470853188,0
1637853812.2,0.00022195841985578658,0.018080497048774707,0.015008819933033648,0.015355514086795445,0.01730458310672261,0.01547827082949601,0.002179852810670606,0.008803661928958392,0.0241887281977922,0.04425359540548551,0.046776603222468266,0.1080170701536305,0.008093645878533817,0.023876929518551325,0.014919098651316466,0.030073145709383107,0.06271353960234599,0.011326209676003578,0
1637853812.5,0.0012393706706753003,0.018156678115178484,0.011274449065590574,0.015136173722103937,0.018909849090894822,0.01278377863261201,0.0006547281111653065,0.00888748427137471,0.0232566695825879,0.05823021829227772,0.058490330641744796,0.10865210866036622,0.01102224766842813,0.025049148935125613,0.015560657653145349,0.03978664966132211,0.06746807495028447,0.013191184600431696,0
1637853812.7,0.0004347475625605101,0.01514696050639076,0.013087755903091608,0.013792643249599713,0.016826311909680397,0.011802229334901299,0.0017045231281979122,0.008017433235105344,0.024185442168048823,0.05829140772408951,0.05502007572523062,0.1051735500301112,0.008351545199969859,0.021423501250950373,0.0129696795997588,0.038663129505825275,0.0636363948760484,0.016147210370797756,0
1637853812.8,0.0002862500360252827,0.013644793389719806,0.013940112995767922,0.012151121997544331,0.0162386423079021,0.01084569984432408,0.004629993812939268,0.009185815348448426,0.024240457386403097,0.05854522607004865,0.056003832006201196,0.10566373467413569,0.012989408942535205,0.020846264531800718,0.013835656393078415,0.04176178958288909,0.06552389499193008,0.015574003655062918,0
1637853813.1,0.0010306020840447838,0.014734575772408562,0.014168607907636091,0.013475328983649856,0.017595294089328986,0.013724126556099796,0.001163639425150534,0.0050170265086285255,0.021853833606047323,0.05462147671674892,0.053606969034631226,0.10364859643216656,0.013636259380962369,0.01951981489593772,0.014270848750309623,0.040287812912421304,0.06731921425013128,0.016546446528991517,0
1637853814.0,0.002133152282744386,0.0171944846145815,0.013328936383799044,0.01386994851100624,0.015957784383555818,0.011183691654526862,0.002188709102413702,0.010877243368900686,0.02298867274530086,0.061097398478882514,0.059066836133357316,0.10475927680061817,0.012653463578808206,0.01970610861384355,0.01471991692785442,0.0398329152603324,0.06692167841443271,0.02071339157635248,0
1637853814.2,0.0011151797340920612,0.01481315179164034,0.01279084723809282,0.01551436030910315,0.01957871155005364,0.014950836864122968,0.0022034868791666077,0.010572244848412035,0.02095171883815763,0.05867848654804498,0.0585966294749953,0.10376775531148226,0.0128315629347935,0.024298826974127826,0.01550913392607072,0.04171246869531365,0.06792654097811231,0.01944510438968176,0
1637853814.4,0.004154022479957901,0.012622117567477114,0.01054985262172383,0.012894405201396748,0.015883393527688677,0.011300532392942203,3.7695139213781146e-05,0.006077605417630952,0.02039274718079447,0.06071977586630574,0.054236988085543884,0.10348053681149354,0.014106864037494239,0.019952957311605575,0.014508466081687248,0.042400592658523945,0.06427510981081136,0.020926238858451907,0
1637853815.0,0.0017030956875677364,0.014354104416205297,0.012422962723558669,0.014949116570744414,0.01865525601764459,0.01221902758461362,0.0009413953740298252,0.008740162019005395,0.02134023004042416,0.06080707035426686,0.0560708654997871,0.10339613925019808,0.014108513970398672,0.02228007168568505,0.01476465915828627,0.04060941740511508,0.0668179290945509,0.022971035086785947,0
1637853815.5,0.0010667530856142361,0.014734706906640426,0.01366099577785068,0.012090896214104621,0.01772195786377677,0.00932877147701254,0.00021272733096118618,0.009427308007687403,0.020154968326668823,0.057536002290393184,0.05634795810777246,0.10477623515726754,0.013800627740873673,0.020796314593587086,0.014478060070832173,0.0416390755742143,0.066163445146468,0.02536334706699396,0
1637853815.6,0.0031869161438164238,0.015201551981167344,0.012898252406752632,0.013641275487631947,0.018145906443190394,0.011381854962592908,0.003629152944960353,0.00993564385406407,0.021598153185117448,0.06161932505272304,0.05700162340623461,0.10313639850584237,0.012007367865010384,0.02228429537459143,0.015845669768255813,0.0426564254845354,0.06830715871318603,0.023822687546013518,0
1637853816.1,0.001144302697952795,0.01670610644275673,0.014266045485003463,0.01374041605979829,0.01994196807522238,0.012023236732517572,3.31895858384534e-05,0.01168254051329812,0.022814439961736536,0.06269252089510376,0.058326746785452584,0.1061340492145709,0.017127048583408112,0.021376098755524143,0.016448797951453542,0.03844809789377859,0.06886860723709892,0.02401718323785062,0
1637853816.2,0.0012608972795203088,0.016094113742058803,0.015921544994883213,0.014696566674803175,0.018044148220479787,0.011695711641013138,0.00033788759806496977,0.014831252236738228,0.02394111042269778,0.062165638229430616,0.06433206875785775,0.10816349951321018,0.01280214781121743,0.025601022402430663,0.016870982133427467,0.042355955126576326,0.06510548064446613,0.026492302105284964,0
1637853816.7,0.0001094420454607629,0.01496224815319475,0.01637513334475772,0.016362490959519214,0.019116854102960545,0.013066778030460227,0.002755963028976443,0.009182906453070794,0.024701492345600356,0.06117347236840133,0.058351299212099916,0.10651902845272376,0.01320121574220159,0.024256973133874066,0.01614772011873677,0.03922011122588223,0.06694539605465341,0.026353988887049963,0
1637853816.9,0.004475771903707097,0.01796080299014322,0.015527283650010989,0.01643796957936748,0.017322313639577636,0.014008144699540075,0.002176916312490546,0.013428150398507218,0.023911992390247543,0.061655192840796305,0.05997856486049015,0.10540224447755481,0.0175016695717688,0.024019298064837213,0.014182569925069086,0.04082130839641246,0.06621081842398124,0.026865326803267895,0
