time (s),w,x-axis,y-axis,z-axis,class
1661434290802.815,0.545,-0.151,-0.819,-0.095,0
1661434290863.3,0.534,-0.151,-0.827,-0.091,0
1661434290900.696,0.525,-0.151,-0.833,-0.089,0
1661434290938.504,0.517,-0.151,-0.838,-0.086,0
1661434290947.767,0.51,-0.15,-0.843,-0.084,0
1661434290960.9548,0.504,-0.15,-0.846,-0.082,0
1661434290976.172,0.499,-0.15,-0.85,-0.081,0
1661434291005.449,0.495,-0.15,-0.852,-0.08,0
1661434291007.176,0.493,-0.15,-0.853,-0.079,0
1661434291008.09,0.492,-0.15,-0.854,-0.079,0
1661434291028.076,0.493,-0.15,-0.853,-0.079,0
1661434291030.0242,0.495,-0.15,-0.852,-0.079,0
1661434291031.023,0.497,-0.151,-0.851,-0.08,0
1661434291035.503,0.501,-0.151,-0.848,-0.081,0
1661434291037.005,0.505,-0.151,-0.845,-0.082,0
1661434291037.005,0.511,-0.152,-0.842,-0.084,0
1661434291042.989,0.518,-0.152,-0.837,-0.086,0
1661434291045.012,0.528,-0.153,-0.831,-0.089,0
1661434291047.019,0.541,-0.153,-0.822,-0.092,0
1661434291050.969,0.557,-0.153,-0.81,-0.097,0
1661434291051.966,0.598,-0.152,-0.779,-0.11,0
1661434291052.9631,0.621,-0.151,-0.76,-0.118,0
1661434291058.951,0.645,-0.15,-0.739,-0.127,0
1661434291059.954,0.779,-0.138,-0.587,-0.173,0
1661434291065.928,0.861,-0.121,-0.448,-0.208,0
1661434291080.897,0.908,-0.105,-0.333,-0.232,0
1661434291081.885,0.92,-0.099,-0.293,-0.239,0
1661434291082.908,0.931,-0.092,-0.252,-0.247,0
1661434291088.536,0.948,-0.077,-0.167,-0.259,0
1661434291089.893,0.958,-0.059,-0.052,-0.275,0
1661434291089.893,0.959,-0.054,-0.02,-0.279,0
1661434291104.239,0.958,-0.049,0.01,-0.282,0
1661434291105.235,0.957,-0.045,0.037,-0.284,0
1661434291118.396,0.955,-0.042,0.061,-0.286,0
1661434291125.367,0.953,-0.039,0.084,-0.288,0
1661434291126.41,0.951,-0.035,0.105,-0.289,0
1661434291127.362,0.948,-0.033,0.126,-0.29,0
1661434291133.3462,0.945,-0.031,0.146,-0.291,0
1661434291134.344,0.942,-0.029,0.165,-0.292,0
1661434291135.3418,0.938,-0.027,0.183,-0.293,0
1661434291148.731,0.934,-0.026,0.2,-0.294,0
1661434291150.358,0.931,-0.025,0.214,-0.294,0
1661434291151.298,0.928,-0.025,0.226,-0.295,0
1661434291155.332,0.926,-0.024,0.235,-0.295,0
1661434291163.266,0.924,-0.024,0.242,-0.296,0
1661434291185.834,0.923,-0.023,0.247,-0.296,0
1661434291186.2422,0.922,-0.023,0.25,-0.295,0
1661434291208.178,0.921,-0.022,0.253,-0.295,0
1661434291208.997,0.921,-0.022,0.255,-0.295,0
1661434291215.025,0.92,-0.021,0.256,-0.295,0
1661434291230.9438,0.92,-0.021,0.257,-0.295,0
1661434291238.3262,0.92,-0.021,0.256,-0.296,0
1661434291252.924,0.921,-0.02,0.254,-0.296,0
1661434291260.916,0.921,-0.02,0.252,-0.296,0
1661434291276.822,0.922,-0.025,0.246,-0.297,0
1661434291279.175,0.924,-0.026,0.24,-0.297,0
1661434291290.681,0.926,-0.026,0.233,-0.296,0
1661434291297.852,0.929,-0.027,0.223,-0.295,0
1661434291305.848,0.932,-0.028,0.211,-0.294,0
1661434291320.166,0.935,-0.03,0.195,-0.293,0
1661434291328.6682,0.94,-0.032,0.176,-0.292,0
1661434291335.011,0.944,-0.035,0.155,-0.29,0
1661434291350.999,0.948,-0.038,0.132,-0.289,0
1661434291372.9092,0.951,-0.042,0.106,-0.287,0
1661434291373.906,0.954,-0.047,0.077,-0.284,0
1661434291380.887,0.957,-0.052,0.045,-0.281,0
1661434291387.868,0.959,-0.058,0.01,-0.278,0
1661434291417.789,0.959,-0.066,-0.029,-0.274,0
1661434291418.798,0.958,-0.073,-0.072,-0.269,0
1661434291425.769,0.954,-0.081,-0.118,-0.264,0
1661434291455.7249,0.948,-0.088,-0.164,-0.258,0
1661434291462.668,0.94,-0.096,-0.211,-0.251,0
1661434291470.648,0.929,-0.104,-0.258,-0.244,0
1661434291471.644,0.917,-0.111,-0.303,-0.236,0
1661434291478.625,0.902,-0.118,-0.348,-0.228,0
1661434291479.624,0.885,-0.124,-0.392,-0.219,0
1661434291507.904,0.867,-0.129,-0.434,-0.21,0
1661434291509.543,0.847,-0.133,-0.473,-0.201,0
1661434291510.54,0.827,-0.137,-0.51,-0.192,0
1661434291546.504,0.806,-0.14,-0.545,-0.183,0
1661434291549.638,0.785,-0.143,-0.577,-0.175,0
1661434291553.425,0.764,-0.145,-0.607,-0.167,0
1661434291554.423,0.741,-0.147,-0.635,-0.159,0
1661434291582.468,0.718,-0.149,-0.663,-0.151,0
1661434291583.7131,0.694,-0.151,-0.69,-0.143,0
1661434291584.697,0.669,-0.153,-0.715,-0.135,0
1661434291613.944,0.643,-0.155,-0.739,-0.127,0
1661434291619.927,0.62,-0.156,-0.76,-0.119,0
1661434291755.707,0.597,-0.157,-0.779,-0.112,0
1661434291756.624,0.576,-0.157,-0.795,-0.105,0
1661434291757.618,0.558,-0.157,-0.809,-0.099,0
1661434291785.936,0.541,-0.157,-0.821,-0.093,0
1661434291800.896,0.527,-0.157,-0.83,-0.089,0
1661434291801.894,0.515,-0.156,-0.838,-0.084,0
1661434291802.917,0.506,-0.156,-0.845,-0.081,0
1661434291875.712,0.497,-0.155,-0.85,-0.079,0
1661434291891.0352,0.49,-0.154,-0.855,-0.077,0
1661434291892.031,0.483,-0.154,-0.859,-0.075,0
1661434291893.027,0.477,-0.153,-0.862,-0.073,0
1661434291898.0142,0.473,-0.152,-0.865,-0.072,0
1661434291927.4932,0.468,-0.152,-0.867,-0.071,0
1661434291935.7668,0.465,-0.152,-0.869,-0.071,0
1661434291958.59,0.463,-0.151,-0.87,-0.07,0
1661434291996.0908,0.463,-0.151,-0.871,-0.07,0
1661434291997.453,0.464,-0.151,-0.87,-0.07,0
1661434292003.427,0.466,-0.151,-0.869,-0.071,0
1661434292055.906,0.47,-0.152,-0.867,-0.072,0
1661434292056.905,0.475,-0.152,-0.863,-0.074,0
1661434292057.902,0.482,-0.153,-0.859,-0.076,0
1661434292062.967,0.492,-0.154,-0.853,-0.079,0
1661434292092.86,0.505,-0.154,-0.845,-0.083,0
1661434292093.832,0.521,-0.155,-0.835,-0.088,0
1661434292095.9138,0.54,-0.155,-0.822,-0.094,0
1661434292100.798,0.562,-0.155,-0.806,-0.102,0
1661434292101.8218,0.587,-0.155,-0.787,-0.11,0
1661434292102.781,0.613,-0.154,-0.766,-0.119,0
1661434292108.0798,0.641,-0.153,-0.742,-0.128,0
1661434292108.765,0.668,-0.151,-0.716,-0.137,0
1661434292109.7678,0.696,-0.148,-0.687,-0.146,0
1661434292116.128,0.723,-0.145,-0.657,-0.155,0
1661434292123.461,0.75,-0.142,-0.625,-0.164,0
1661434292124.012,0.775,-0.139,-0.591,-0.173,0
1661434292131.03,0.8,-0.135,-0.556,-0.182,0
1661434292138.308,0.822,-0.131,-0.52,-0.191,0
1661434292139.97,0.843,-0.127,-0.484,-0.2,0
1661434292139.97,0.892,-0.114,-0.376,-0.223,0
1661434292146.964,0.905,-0.11,-0.341,-0.23,0
1661434292147.977,0.916,-0.105,-0.305,-0.236,0
1661434292150.009,0.95,-0.079,-0.158,-0.259,0
1661434292153.135,0.955,-0.071,-0.116,-0.265,0
1661434292153.931,0.958,-0.062,-0.071,-0.271,0
1661434292154.929,0.959,-0.054,-0.025,-0.278,0
1661434292160.9531,0.958,-0.048,0.02,-0.284,0
1661434292161.9102,0.954,-0.042,0.064,-0.289,0
1661434292168.221,0.95,-0.037,0.104,-0.293,0
1661434292168.9392,0.944,-0.032,0.14,-0.297,0
1661434292169.927,0.938,-0.028,0.172,-0.3,0
1661434292175.874,0.932,-0.025,0.199,-0.302,0
1661434292176.879,0.926,-0.022,0.223,-0.304,0
1661434292177.896,0.92,-0.02,0.244,-0.305,0
1661434292182.854,0.915,-0.017,0.263,-0.306,0
1661434292190.856,0.91,-0.015,0.28,-0.307,0
1661434292205.792,0.905,-0.014,0.295,-0.307,0
1661434292213.651,0.9,-0.013,0.309,-0.308,0
1661434292220.776,0.894,-0.012,0.323,-0.309,0
1661434292235.7869,0.889,-0.011,0.337,-0.31,0
1661434292242.6,0.884,-0.011,0.349,-0.311,0
1661434292250.8062,0.879,-0.01,0.36,-0.312,0
1661434292265.5698,0.876,-0.01,0.368,-0.312,0
1661434292273.24,0.872,-0.01,0.375,-0.313,0
1661434292281.027,0.87,-0.01,0.381,-0.314,0
1661434292295.223,0.868,-0.009,0.385,-0.314,0
1661434292303.247,0.866,-0.009,0.388,-0.315,0
1661434292310.171,0.865,-0.009,0.391,-0.315,0
1661434292325.656,0.863,-0.008,0.393,-0.316,0
1661434292333.263,0.869,-0.014,0.375,-0.322,0
1661434292340.998,0.869,-0.013,0.375,-0.322,0
1661434292356.2231,0.869,-0.013,0.375,-0.322,0
1661434292363.863,0.87,-0.013,0.373,-0.323,0
1661434292370.536,0.872,-0.013,0.368,-0.323,0
1661434292385.4949,0.875,-0.013,0.362,-0.322,0
1661434292392.509,0.878,-0.013,0.353,-0.322,0
1661434292401.452,0.883,-0.014,0.343,-0.321,0
1661434292416.405,0.887,-0.015,0.332,-0.32,0
1661434292422.7332,0.892,-0.016,0.32,-0.319,0
1661434292446.325,0.897,-0.017,0.307,-0.318,0
1661434292453.376,0.902,-0.019,0.293,-0.317,0
1661434292460.665,0.908,-0.023,0.277,-0.315,0
1661434292461.282,0.914,-0.027,0.256,-0.313,0
1661434292483.66,0.922,-0.032,0.23,-0.311,0
1661434292484.627,0.93,-0.037,0.199,-0.308,0
1661434292497.59,0.938,-0.043,0.162,-0.303,0
1661434292505.779,0.946,-0.05,0.121,-0.298,0
1661434292513.521,0.952,-0.057,0.077,-0.291,0
1661434292536.642,0.956,-0.066,0.032,-0.285,0
1661434292537.263,0.958,-0.075,-0.016,-0.278,0
1661434292543.3718,0.957,-0.085,-0.065,-0.271,0
1661434292573.132,0.953,-0.095,-0.115,-0.263,0
1661434292603.45,0.947,-0.105,-0.166,-0.255,0
1661434292604.44,0.938,-0.114,-0.218,-0.245,0
1661434292605.439,0.926,-0.123,-0.268,-0.235,0
1661434292685.798,0.912,-0.13,-0.316,-0.225,0
1661434292692.775,0.897,-0.137,-0.362,-0.214,0
1661434292700.94,0.88,-0.142,-0.404,-0.204,0
1661434292701.71,0.862,-0.146,-0.446,-0.194,0
1661434292722.982,0.841,-0.15,-0.486,-0.183,0
1661434292724.649,0.818,-0.153,-0.527,-0.172,0
1661434292737.961,0.793,-0.155,-0.567,-0.16,0
1661434292739.609,0.765,-0.157,-0.606,-0.149,0
1661434292775.6108,0.736,-0.159,-0.644,-0.137,0
1661434292797.615,0.705,-0.16,-0.679,-0.126,0
1661434292820.729,0.675,-0.161,-0.711,-0.115,0
1661434292822.108,0.644,-0.161,-0.741,-0.105,0
1661434822620.9011,0.711,-0.38,-0.587,0.076,1
1661434822740.095,0.71,-0.367,-0.596,0.071,1
1661434822741.719,0.71,-0.354,-0.605,0.065,1
1661434822742.716,0.709,-0.341,-0.614,0.058,1
1661434822742.716,0.709,-0.329,-0.622,0.05,1
1661434822743.714,0.708,-0.279,-0.649,0.018,1
1661434822744.7122,0.708,-0.267,-0.654,0.009,1
1661434822745.708,0.707,-0.211,-0.674,-0.034,1
1661434822746.731,0.704,-0.076,-0.694,-0.129,1
1661434822747.728,0.71,-0.055,-0.688,-0.139,1
1661434822800.734,0.712,-0.052,-0.686,-0.14,1
1661434822860.3262,0.713,-0.05,-0.685,-0.141,1
1661434822919.708,0.715,-0.047,-0.684,-0.141,1
1661434823100.803,0.716,-0.045,-0.682,-0.141,1
1661434823101.418,0.718,-0.043,-0.681,-0.141,1
1661434823220.4832,0.719,-0.041,-0.68,-0.14,1
1661434823221.377,0.72,-0.039,-0.679,-0.14,1
1661434823222.358,0.72,-0.037,-0.679,-0.139,1
1661434823223.355,0.719,-0.033,-0.683,-0.125,1
1661434823224.406,0.718,-0.034,-0.684,-0.124,1
1661434823225.35,0.717,-0.035,-0.685,-0.125,1
1661434823226.373,0.715,-0.038,-0.687,-0.125,1
1661434823227.376,0.703,-0.053,-0.696,-0.136,1
1661434823228.571,0.65,-0.152,-0.707,-0.234,1
1661434823280.797,0.643,-0.163,-0.707,-0.244,1
1661434823281.228,0.636,-0.174,-0.708,-0.253,1
1661434823282.224,0.63,-0.184,-0.708,-0.262,1
1661434823283.195,0.624,-0.194,-0.707,-0.27,1
1661434823284.192,0.619,-0.203,-0.706,-0.278,1
1661434823286.189,0.615,-0.21,-0.704,-0.284,1
1661434823287.234,0.613,-0.216,-0.703,-0.29,1
1661434823288.208,0.611,-0.22,-0.701,-0.295,1
1661434823340.4329,0.61,-0.223,-0.699,-0.299,1
1661434823400.064,0.612,-0.224,-0.695,-0.303,1
1661434823401.0652,0.642,-0.201,-0.681,-0.287,1
1661434823402.061,0.735,-0.03,-0.665,-0.127,1
1661434823403.059,0.736,-0.021,-0.666,-0.118,1
1661434823404.0571,0.787,0.011,-0.614,-0.052,1
1661434823405.0542,0.786,0.006,-0.616,-0.054,1
1661434823460.451,0.783,0.001,-0.619,-0.057,1
1661434823461.901,0.779,-0.006,-0.623,-0.063,1
1661434823462.899,0.776,-0.015,-0.627,-0.07,1
1661434823462.899,0.771,-0.024,-0.631,-0.078,1
1661434823463.896,0.767,-0.034,-0.634,-0.088,1
1661434823519.672,0.763,-0.045,-0.637,-0.099,1
1661434823522.645,0.759,-0.056,-0.639,-0.112,1
1661434823525.644,0.754,-0.068,-0.642,-0.126,1
1661434823580.6438,0.747,-0.08,-0.644,-0.14,1
1661434823581.481,0.74,-0.093,-0.648,-0.155,1
1661434823700.1,0.731,-0.105,-0.652,-0.169,1
1661434823701.662,0.721,-0.117,-0.657,-0.184,1
1661434823702.687,0.711,-0.129,-0.662,-0.197,1
1661434823760.56,0.701,-0.141,-0.667,-0.21,1
1661434823761.533,0.692,-0.152,-0.67,-0.223,1
1661434823762.531,0.685,-0.162,-0.671,-0.234,1
1661434823762.531,0.679,-0.171,-0.67,-0.245,1
1661434823763.5332,0.675,-0.179,-0.669,-0.255,1
1661434823764.57,0.672,-0.185,-0.667,-0.263,1
1661434823820.432,0.668,-0.19,-0.667,-0.27,1
1661434823822.154,0.664,-0.194,-0.668,-0.274,1
1661434823940.851,0.66,-0.196,-0.67,-0.277,1
1661434823941.254,0.657,-0.198,-0.672,-0.279,1
1661434823942.207,0.654,-0.198,-0.675,-0.278,1
1661434823943.204,0.652,-0.198,-0.678,-0.277,1
1661434823944.235,0.651,-0.196,-0.68,-0.275,1
1661434823945.231,0.652,-0.193,-0.681,-0.272,1
1661434823946.313,0.657,-0.184,-0.682,-0.263,1
1661434824000.396,0.661,-0.178,-0.682,-0.258,1
1661434824002.046,0.666,-0.171,-0.681,-0.251,1
1661434824003.0452,0.691,-0.138,-0.676,-0.217,1
1661434824004.044,0.698,-0.129,-0.674,-0.206,1
1661434824060.212,0.762,-0.012,-0.644,-0.061,1
1661434824060.6812,0.767,-0.002,-0.64,-0.048,1
1661434824061.6318,0.771,0.008,-0.635,-0.035,1
1661434824062.667,0.784,0.035,-0.62,-0.002,1
1661434824063.6511,0.785,0.038,-0.619,0.001,1
1661434824064.6592,0.784,0.039,-0.619,0.002,1
1661434824065.646,0.783,0.039,-0.621,0.001,1
1661434824066.62,0.78,0.037,-0.625,-0.001,1
1661434824067.6191,0.776,0.034,-0.63,-0.005,1
1661434824120.51,0.773,0.029,-0.634,-0.011,1
1661434824122.477,0.769,0.024,-0.638,-0.017,1
1661434824124.4658,0.721,-0.097,-0.667,-0.159,1
1661434824126.569,0.713,-0.11,-0.67,-0.175,1
1661434824127.496,0.705,-0.124,-0.672,-0.191,1
1661434824128.4531,0.697,-0.137,-0.673,-0.207,1
1661434824129.4502,0.688,-0.15,-0.674,-0.222,1
1661434824130.448,0.68,-0.163,-0.674,-0.237,1
1661434824300.252,0.673,-0.175,-0.674,-0.251,1
1661434824360.406,0.666,-0.186,-0.673,-0.263,1
1661434824361.402,0.661,-0.196,-0.671,-0.273,1
1661434824362.4,0.656,-0.203,-0.67,-0.281,1
1661434824363.399,0.653,-0.207,-0.67,-0.287,1
1661434824364.394,0.648,-0.211,-0.671,-0.292,1
1661434824366.412,0.648,-0.21,-0.671,-0.293,1
1661434824367.425,0.649,-0.208,-0.671,-0.291,1
1661434824368.385,0.652,-0.204,-0.671,-0.288,1
1661434824480.6162,0.657,-0.198,-0.67,-0.284,1
1661434824540.227,0.662,-0.191,-0.669,-0.278,1
1661434824540.893,0.669,-0.183,-0.668,-0.271,1
1661434824541.891,0.676,-0.174,-0.666,-0.263,1
1661434824542.887,0.684,-0.165,-0.664,-0.254,1
1661434824543.885,0.691,-0.155,-0.663,-0.244,1
1661434824544.882,0.698,-0.145,-0.661,-0.233,1
1661434824545.913,0.705,-0.135,-0.66,-0.222,1
1661434824546.876,0.713,-0.124,-0.658,-0.209,1
1661434824547.874,0.72,-0.113,-0.656,-0.197,1
1661434824780.7888,0.728,-0.102,-0.652,-0.184,1
1661434824781.7522,0.736,-0.09,-0.649,-0.171,1
1661434824782.774,0.744,-0.079,-0.645,-0.157,1
1661434824783.747,0.768,0.054,-0.638,0.001,1
1661434824784.744,0.767,0.057,-0.639,0.0,1
1661434824785.74,0.768,0.058,-0.638,-0.002,1
1661434824786.738,0.769,0.058,-0.637,-0.005,1
1661434824786.738,0.771,0.056,-0.634,-0.009,1
1661434824787.761,0.773,0.054,-0.633,-0.014,1
1661434824960.112,0.774,0.05,-0.631,-0.02,1
1661434824961.117,0.774,0.046,-0.631,-0.026,1
1661434824962.147,0.773,0.04,-0.632,-0.033,1
1661434824963.1072,0.764,0.01,-0.642,-0.066,1
1661434824964.1062,0.737,-0.056,-0.66,-0.132,1
1661434824966.776,0.73,-0.069,-0.664,-0.144,1
1661434824967.374,0.723,-0.082,-0.668,-0.157,1
1661434824968.12,0.715,-0.095,-0.672,-0.169,1
1661434824969.101,0.707,-0.108,-0.674,-0.182,1
1661434825019.9548,0.7,-0.121,-0.676,-0.195,1
1661434825021.952,0.693,-0.134,-0.677,-0.209,1
1661434825023.953,0.686,-0.147,-0.677,-0.222,1
1661434825025.94,0.68,-0.159,-0.676,-0.235,1
1661434825027.934,0.695,-0.149,-0.668,-0.222,1
1661434825028.932,0.702,-0.139,-0.665,-0.211,1
1661434825080.828,0.71,-0.129,-0.663,-0.2,1
1661434825082.19,0.717,-0.118,-0.66,-0.189,1
1661434825082.19,0.724,-0.108,-0.658,-0.176,1
1661434825083.228,0.731,-0.097,-0.655,-0.164,1
1661434825084.197,0.738,-0.085,-0.652,-0.151,1
1661434825085.222,0.746,-0.074,-0.648,-0.137,1
1661434825086.18,0.753,-0.063,-0.643,-0.124,1
1661434825140.442,0.767,0.025,-0.641,-0.032,1
1661434825141.439,0.77,0.026,-0.636,-0.034,1
1661434825200.281,0.774,0.027,-0.632,-0.037,1
1661434825201.281,0.776,0.025,-0.628,-0.041,1
1661434825202.276,0.778,0.023,-0.626,-0.046,1
1661434825203.276,0.779,0.021,-0.625,-0.051,1
1661434825205.271,0.779,0.017,-0.625,-0.057,1
1661434825260.282,0.777,0.013,-0.626,-0.063,1
1661434825261.146,0.776,0.008,-0.627,-0.069,1
1661434825380.136,0.773,0.003,-0.63,-0.076,1
1661434825381.798,0.771,-0.004,-0.632,-0.083,1
1661434825381.798,0.768,-0.011,-0.634,-0.09,1
1661434825383.79,0.765,-0.018,-0.636,-0.098,1
1661434825383.79,0.762,-0.026,-0.638,-0.106,1
1661434825440.072,0.759,-0.035,-0.64,-0.115,1
1661434825500.8708,0.755,-0.044,-0.643,-0.124,1
1661434825501.87,0.75,-0.054,-0.646,-0.133,1
1661434825502.868,0.744,-0.065,-0.649,-0.143,1
1661434825503.864,0.738,-0.077,-0.653,-0.153,1
1661434825505.86,0.731,-0.089,-0.656,-0.163,1
1661434825505.86,0.724,-0.102,-0.66,-0.174,1
1661434825506.894,0.717,-0.115,-0.662,-0.185,1
1661434825507.8782,0.709,-0.128,-0.665,-0.197,1
1661434825508.851,0.691,-0.154,-0.671,-0.22,1
1661434825560.469,0.681,-0.167,-0.675,-0.23,1
1661434825561.466,0.672,-0.178,-0.677,-0.239,1
1661434825619.866,0.664,-0.189,-0.68,-0.248,1
1661434825625.1472,0.658,-0.197,-0.681,-0.255,1
1661434825680.014,0.653,-0.204,-0.681,-0.261,1
1661434825680.659,0.649,-0.209,-0.681,-0.266,1
1661434825681.682,0.647,-0.212,-0.681,-0.27,1
1661434825682.6538,0.694,-0.168,-0.657,-0.241,1
1661434825683.704,0.701,-0.16,-0.655,-0.234,1
1661434825684.686,0.707,-0.153,-0.652,-0.227,1
1661434825685.646,0.715,-0.144,-0.648,-0.219,1
1661434825800.802,0.722,-0.136,-0.644,-0.211,1
1661434825802.093,0.781,-0.053,-0.61,-0.125,1
1661434825804.091,0.785,-0.042,-0.608,-0.112,1
1661434825805.075,0.788,-0.03,-0.607,-0.098,1
1661434825805.075,0.791,-0.019,-0.606,-0.085,1
1661434825808.065,0.791,-0.008,-0.607,-0.073,1
1661434825808.065,0.79,0.003,-0.61,-0.062,1
1661434825860.466,0.787,0.013,-0.614,-0.052,1
1661434825861.311,0.783,0.021,-0.62,-0.045,1
1661434825862.308,0.778,0.028,-0.626,-0.041,1
1661434825919.864,0.775,0.034,-0.63,-0.038,1
1661434825922.226,0.775,0.037,-0.629,-0.037,1
1661434825923.931,0.777,0.04,-0.627,-0.038,1
1661434825925.811,0.78,0.04,-0.623,-0.04,1
1661434825927.805,0.783,0.04,-0.62,-0.042,1
1661434825928.804,0.778,0.024,-0.624,-0.065,1
1661434825980.0178,0.776,0.018,-0.627,-0.071,1
1661434825980.707,0.773,0.012,-0.63,-0.077,1
1661434825981.663,0.77,0.004,-0.633,-0.084,1
1661434825982.6902,0.767,-0.004,-0.635,-0.092,1
1661434825983.657,0.764,-0.012,-0.638,-0.1,1
1661434826039.974,0.76,-0.022,-0.64,-0.109,1
1661434826040.883,0.725,-0.087,-0.661,-0.17,1
1661434826041.882,0.718,-0.099,-0.665,-0.181,1
1661434826042.8792,0.709,-0.11,-0.669,-0.191,1
1661434826043.877,0.701,-0.122,-0.672,-0.202,1
1661434826044.873,0.694,-0.133,-0.675,-0.213,1
1661434826045.895,0.688,-0.143,-0.676,-0.225,1
1661434826045.895,0.682,-0.152,-0.675,-0.236,1
1661434826046.922,0.679,-0.16,-0.673,-0.246,1
1661434826100.086,0.676,-0.167,-0.671,-0.256,1
1661434826100.908,0.675,-0.172,-0.668,-0.264,1
1661434826101.721,0.673,-0.177,-0.661,-0.28,1
1661434826103.724,0.674,-0.177,-0.66,-0.281,1
1661434826104.714,0.675,-0.176,-0.659,-0.281,1
1661434826106.709,0.678,-0.173,-0.657,-0.28,1
1661434826107.706,0.681,-0.169,-0.656,-0.277,1
1661434826108.702,0.685,-0.165,-0.655,-0.274,1
1661434826109.701,0.69,-0.16,-0.653,-0.269,1
1661434826160.396,0.695,-0.154,-0.651,-0.263,1
1661434826161.376,0.7,-0.148,-0.649,-0.257,1
1661434826220.205,0.706,-0.141,-0.647,-0.25,1
1661434826221.2031,0.713,-0.133,-0.645,-0.242,1
1661434826223.204,0.728,-0.116,-0.638,-0.225,1
1661434826226.348,0.736,-0.107,-0.633,-0.216,1
1661434826227.185,0.744,-0.098,-0.628,-0.207,1
1661434826228.2231,0.751,-0.088,-0.624,-0.197,1
1661434826229.2222,0.758,-0.079,-0.62,-0.187,1
1661434826230.179,0.764,-0.069,-0.616,-0.176,1
1661434826231.178,0.771,-0.06,-0.613,-0.165,1
1661434826280.557,0.776,-0.05,-0.609,-0.153,1
1661434826281.041,0.782,-0.04,-0.606,-0.141,1
1661434826339.884,0.787,-0.03,-0.603,-0.129,1
1661434826341.88,0.791,-0.02,-0.6,-0.117,1
1661434826399.7249,0.795,-0.01,-0.598,-0.104,1
1661434826400.778,0.797,-0.001,-0.596,-0.092,1
1661434826401.737,0.799,0.008,-0.596,-0.081,1
1661434826460.564,0.798,0.017,-0.598,-0.071,1
1661434826461.559,0.796,0.024,-0.602,-0.063,1
1661434826462.5571,0.793,0.03,-0.606,-0.058,1
1661434826463.554,0.79,0.034,-0.61,-0.055,1
1661434826464.55,0.787,0.036,-0.613,-0.053,1
1661434826465.548,0.785,0.038,-0.616,-0.053,1
1661434826466.623,0.784,0.039,-0.618,-0.054,1
1661434826466.623,0.782,0.039,-0.619,-0.055,1
1661434826467.543,0.781,0.037,-0.621,-0.057,1
1661434826520.233,0.778,0.035,-0.624,-0.06,1
1661434826580.235,0.776,0.032,-0.627,-0.063,1
1661434826580.831,0.773,0.028,-0.63,-0.067,1
1661434826581.828,0.77,0.023,-0.633,-0.071,1
1661434826700.1892,0.767,0.018,-0.636,-0.076,1
1661434826701.19,0.765,0.011,-0.639,-0.081,1
1661434826702.311,0.762,0.004,-0.642,-0.087,1
1661434826703.185,0.759,-0.004,-0.645,-0.093,1
1661434826704.206,0.755,-0.012,-0.648,-0.1,1
1661434826705.178,0.738,-0.051,-0.66,-0.132,1
1661434826705.178,0.733,-0.062,-0.663,-0.141,1
1661434826706.176,0.728,-0.073,-0.665,-0.151,1
1661434826707.198,0.722,-0.084,-0.668,-0.161,1
1661434826760.7952,0.702,-0.118,-0.676,-0.193,1
1661434826761.405,0.693,-0.129,-0.679,-0.205,1
1661434826762.404,0.685,-0.14,-0.681,-0.217,1
1661434826763.438,0.677,-0.15,-0.683,-0.229,1
1661434826764.3992,0.67,-0.16,-0.684,-0.24,1
1661434826765.394,0.665,-0.169,-0.683,-0.252,1
1661434826820.59,0.661,-0.177,-0.681,-0.263,1
1661434826821.2458,0.658,-0.183,-0.678,-0.272,1
1661434826880.19,0.657,-0.187,-0.674,-0.281,1
1661434826880.848,0.656,-0.19,-0.671,-0.288,1
1661434826881.846,0.657,-0.191,-0.665,-0.299,1
1661434826882.842,0.658,-0.189,-0.664,-0.3,1
1661434826883.84,0.66,-0.186,-0.663,-0.299,1
1661434826939.704,0.714,-0.115,-0.648,-0.24,1
1661434826941.686,0.72,-0.105,-0.646,-0.23,1
1661434827060.179,0.727,-0.095,-0.643,-0.22,1
1661434827060.894,0.734,-0.085,-0.641,-0.21,1
1661434827180.151,0.74,-0.075,-0.637,-0.2,1
1661434827181.793,0.747,-0.065,-0.634,-0.188,1
1661434827182.792,0.754,-0.054,-0.63,-0.177,1
1661434827183.789,0.761,-0.044,-0.626,-0.164,1
1661434827184.784,0.767,-0.033,-0.623,-0.151,1
1661434827184.784,0.773,-0.023,-0.619,-0.137,1
1661434827185.783,0.779,-0.012,-0.615,-0.122,1
1661434827186.779,0.784,-0.002,-0.611,-0.107,1
1661434827187.803,0.789,0.009,-0.608,-0.092,1
1661434827240.7178,0.793,0.019,-0.604,-0.078,1
1661434827300.187,0.795,0.029,-0.603,-0.064,1
1661434827300.844,0.795,0.038,-0.604,-0.052,1
1661434827301.841,0.792,0.045,-0.607,-0.042,1
1661434827360.249,0.783,0.055,-0.618,-0.034,1
1661434827540.36,0.781,0.057,-0.621,-0.033,1
1661434827600.862,0.78,0.058,-0.622,-0.033,1
1661434827601.857,0.78,0.058,-0.622,-0.034,1
1661434827602.856,0.78,0.057,-0.622,-0.036,1
1661434827603.885,0.78,0.05,-0.622,-0.042,1
1661434827720.151,0.775,0.009,-0.628,-0.078,1
1661434827721.022,0.75,-0.053,-0.646,-0.131,1
1661434827722.048,0.745,-0.065,-0.649,-0.141,1
1661434827723.0178,0.689,-0.175,-0.658,-0.25,1
