time (s),w,x-axis,y-axis,z-axis,class
1661434225771.301,0.838,-0.149,-0.493,-0.182,0
1661434225771.874,0.861,-0.144,-0.447,-0.194,0
1661434225772.9111,0.881,-0.139,-0.402,-0.206,0
1661434225778.175,0.899,-0.133,-0.356,-0.217,0
1661434225778.855,0.914,-0.126,-0.311,-0.228,0
1661434225785.835,0.926,-0.119,-0.267,-0.238,0
1661434225794.374,0.936,-0.111,-0.223,-0.247,0
1661434225800.834,0.945,-0.102,-0.178,-0.255,0
1661434225824.015,0.951,-0.093,-0.132,-0.263,0
1661434225825.733,0.955,-0.084,-0.085,-0.272,0
1661434225845.9111,0.956,-0.076,-0.038,-0.281,0
1661434225852.674,0.955,-0.067,0.009,-0.289,0
1661434225854.6702,0.952,-0.06,0.053,-0.297,0
1661434225860.636,0.947,-0.054,0.095,-0.304,0
1661434225876.211,0.94,-0.049,0.134,-0.309,0
1661434225883.573,0.933,-0.044,0.17,-0.314,0
1661434225890.877,0.925,-0.04,0.203,-0.319,0
1661434225905.866,0.917,-0.036,0.232,-0.322,0
1661434225913.9,0.909,-0.033,0.258,-0.325,0
1661434225920.818,0.901,-0.03,0.281,-0.328,0
1661434225935.7842,0.894,-0.027,0.301,-0.33,0
1661434225958.421,0.887,-0.025,0.32,-0.332,0
1661434225965.477,0.88,-0.022,0.338,-0.334,0
1661434225967.396,0.872,-0.02,0.354,-0.337,0
1661434225973.546,0.866,-0.019,0.369,-0.339,0
1661434225995.748,0.859,-0.017,0.382,-0.34,0
1661434226003.0798,0.852,-0.016,0.395,-0.342,0
1661434226003.753,0.846,-0.015,0.408,-0.344,0
1661434226025.842,0.84,-0.014,0.419,-0.346,0
1661434226026.666,0.834,-0.014,0.428,-0.347,0
1661434226033.646,0.83,-0.013,0.436,-0.348,0
1661434226048.6318,0.827,-0.013,0.442,-0.348,0
1661434226055.8,0.823,-0.012,0.448,-0.348,0
1661434226062.593,0.82,-0.012,0.453,-0.349,0
1661434226078.55,0.817,-0.011,0.458,-0.349,0
1661434226085.541,0.814,-0.011,0.463,-0.349,0
1661434226093.508,0.811,-0.011,0.468,-0.35,0
1661434226108.469,0.809,-0.011,0.472,-0.35,0
1661434226115.449,0.808,-0.011,0.474,-0.35,0
1661434226123.427,0.808,-0.011,0.475,-0.35,0
1661434226138.388,0.808,-0.01,0.474,-0.349,0
1661434226145.63,0.809,-0.01,0.472,-0.349,0
1661434226153.351,0.811,-0.01,0.47,-0.348,0
1661434226168.453,0.814,-0.01,0.467,-0.347,0
1661434226176.035,0.816,-0.01,0.463,-0.346,0
1661434226183.435,0.819,-0.01,0.459,-0.345,0
1661434226198.4192,0.822,-0.01,0.453,-0.345,0
1661434226205.601,0.827,-0.011,0.446,-0.344,0
1661434226214.377,0.833,-0.012,0.435,-0.343,0
